what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834662476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834664744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834667900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834668920
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1334834669074
error,log,,,"Cannot find navigator content extension (using triggerPoints) for object ""<null>"" parent path: ""F/bluetooth_test/bin"".  Check that you have an expression for this object in a navigatorContent triggerPoints or enablement.",1334834670365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834673874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834766483
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1334834771785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834808220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834910242
opened,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1334834914811
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1334834914927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834915610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834916925
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1334834919301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834921869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834924030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334834924238
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334834924860
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1334834928288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834936476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834937370
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1334834937685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334834947723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334835020085
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findIncremental",1334835022731
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findIncrementalReverse",1334835025156
